时间戳,帧号,传感器1_端口,传感器1_X,传感器1_Y,传感器1_Z,传感器2_端口,传感器2_X,传感器2_Y,传感器2_Z,相对位置_X,相对位置_Y,相对位置_Z,距离
2026-01-09 15:14:56.354,1,1,-156.500000,-31.280000,-105.680000,,,,,,,,
2026-01-09 15:14:58.015,2,1,-156.540000,-31.270000,-105.760000,2,-9.260000,16.640000,-113.970000,147.280000,47.910000,-8.210000,155.094070
2026-01-09 15:14:59.669,3,1,-156.520000,-31.380000,-105.740000,2,-9.250000,16.630000,-113.970000,147.270000,48.010000,-8.230000,155.116556
2026-01-09 15:15:01.334,4,1,-156.590000,-31.570000,-105.820000,2,-9.240000,16.630000,-113.980000,147.350000,48.200000,-8.160000,155.247699
2026-01-09 15:15:02.984,5,1,-156.040000,-31.110000,-105.630000,2,-9.240000,16.630000,-113.980000,146.800000,47.740000,-8.350000,154.593241
2026-01-09 15:15:04.653,6,1,-146.270000,-13.650000,-101.540000,2,-9.240000,16.640000,-113.980000,137.030000,30.290000,-12.440000,140.888107
2026-01-09 15:15:06.307,7,1,-146.660000,-14.950000,-101.670000,2,-9.230000,16.640000,-113.990000,137.430000,31.590000,-12.320000,141.551105
