时间戳,帧号,传感器1_端口,传感器1_X,传感器1_Y,传感器1_Z,传感器2_端口,传感器2_X,传感器2_Y,传感器2_Z,相对位置_X,相对位置_Y,相对位置_Z,距离
2026-01-09 15:44:10.804,1,,,,,,,,,,,,
2026-01-09 15:44:12.458,2,1,21.720000,46.670000,-58.830000,2,-54.930000,-53.250000,-109.390000,-76.650000,-99.920000,-50.560000,135.703878
2026-01-09 15:44:14.115,3,1,21.780000,46.660000,-58.970000,2,-55.530000,-53.300000,-109.680000,-77.310000,-99.960000,-50.710000,136.162924
2026-01-09 15:44:15.768,4,1,21.780000,46.630000,-58.970000,2,-54.770000,-53.290000,-109.630000,-76.550000,-99.920000,-50.660000,135.684725
2026-01-09 15:44:17.426,5,1,21.780000,46.650000,-58.970000,2,-54.790000,-53.280000,-109.620000,-76.570000,-99.930000,-50.650000,135.699640
2026-01-09 15:44:19.089,6,1,21.770000,46.650000,-58.970000,2,-54.780000,-53.280000,-109.630000,-76.550000,-99.930000,-50.660000,135.692089
2026-01-09 15:44:20.742,7,1,21.780000,46.670000,-58.980000,2,-54.810000,-53.190000,-109.610000,-76.590000,-99.860000,-50.630000,135.651924
2026-01-09 15:44:22.395,8,1,21.760000,46.640000,-58.980000,2,-54.770000,-53.280000,-109.630000,-76.530000,-99.920000,-50.650000,135.669708
2026-01-09 15:44:24.043,9,1,21.760000,46.660000,-58.980000,2,-54.780000,-53.280000,-109.630000,-76.540000,-99.940000,-50.650000,135.690080
2026-01-09 15:44:25.698,10,1,21.750000,46.650000,-58.980000,2,-54.780000,-53.280000,-109.620000,-76.530000,-99.930000,-50.640000,135.673341
2026-01-09 15:44:27.354,11,1,21.740000,46.650000,-58.980000,2,-54.750000,-53.310000,-109.660000,-76.490000,-99.960000,-50.680000,135.687819
2026-01-09 15:44:29.017,12,1,21.740000,46.650000,-58.970000,2,-54.790000,-53.280000,-109.620000,-76.530000,-99.930000,-50.650000,135.677074
2026-01-09 15:44:30.674,13,1,21.740000,46.640000,-58.980000,2,-54.780000,-53.280000,-109.630000,-76.520000,-99.920000,-50.650000,135.664068
2026-01-09 15:44:32.324,14,1,21.740000,46.640000,-58.980000,2,-54.780000,-53.290000,-109.620000,-76.520000,-99.930000,-50.640000,135.667700
2026-01-09 15:44:33.976,15,1,21.730000,46.640000,-58.980000,2,-54.780000,-53.280000,-109.620000,-76.510000,-99.920000,-50.640000,135.654694
2026-01-09 15:44:35.626,16,1,21.730000,46.650000,-58.980000,2,-54.220000,-53.210000,-109.530000,-75.950000,-99.860000,-50.550000,135.261689
2026-01-09 15:44:37.278,17,1,21.730000,46.650000,-58.980000,2,-54.770000,-53.270000,-109.630000,-76.500000,-99.920000,-50.650000,135.652788
2026-01-09 15:44:38.932,18,1,21.710000,46.630000,-58.980000,2,-54.780000,-53.280000,-109.620000,-76.490000,-99.910000,-50.640000,135.636049
2026-01-09 15:44:40.587,19,1,21.670000,46.630000,-58.980000,2,-54.840000,-53.160000,-109.570000,-76.510000,-99.790000,-50.590000,135.540298
2026-01-09 15:44:42.240,20,1,21.660000,46.650000,-58.990000,2,-55.520000,-53.290000,-109.670000,-77.180000,-99.940000,-50.680000,136.063288
2026-01-09 15:44:43.897,21,1,21.630000,46.610000,-58.980000,2,-54.860000,-53.190000,-109.530000,-76.490000,-99.800000,-50.550000,135.521447
2026-01-09 15:44:45.547,22,1,20.110000,45.870000,-59.420000,2,-54.790000,-53.290000,-109.600000,-74.900000,-99.160000,-50.180000,134.017715
2026-01-09 15:44:47.207,23,1,20.030000,45.820000,-59.450000,2,-54.780000,-53.290000,-109.620000,-74.810000,-99.110000,-50.170000,133.926686
2026-01-09 15:44:48.864,24,1,20.000000,45.800000,-59.460000,2,-54.780000,-53.290000,-109.630000,-74.780000,-99.090000,-50.170000,133.895128
2026-01-09 15:44:50.521,25,1,19.990000,45.790000,-59.470000,2,-54.770000,-53.290000,-109.630000,-74.760000,-99.080000,-50.160000,133.872811
2026-01-09 15:44:52.180,26,1,19.970000,45.790000,-59.480000,2,-54.780000,-53.290000,-109.630000,-74.750000,-99.080000,-50.150000,133.863480
2026-01-09 15:44:53.840,27,1,19.970000,45.780000,-59.490000,2,-54.770000,-53.290000,-109.630000,-74.740000,-99.070000,-50.140000,133.846749
2026-01-09 15:44:55.499,28,1,18.540000,45.240000,-59.900000,2,-54.790000,-53.300000,-109.630000,-73.330000,-98.540000,-49.730000,132.516012
2026-01-09 15:44:57.156,29,1,18.410000,45.170000,-59.970000,2,-54.740000,-53.350000,-109.670000,-73.150000,-98.520000,-49.700000,132.390343
2026-01-09 15:44:58.815,30,1,18.360000,45.150000,-59.990000,2,-54.800000,-53.300000,-109.620000,-73.160000,-98.450000,-49.630000,132.317516
2026-01-09 15:45:00.470,31,1,18.330000,45.190000,-60.010000,2,-54.830000,-53.210000,-109.610000,-73.160000,-98.400000,-49.600000,132.269065
2026-01-09 15:45:02.124,32,1,18.300000,45.130000,-60.020000,2,-54.800000,-53.290000,-109.620000,-73.100000,-98.420000,-49.600000,132.250771
2026-01-09 15:45:03.782,33,1,18.290000,45.120000,-60.030000,2,-55.510000,-53.410000,-109.650000,-73.800000,-98.530000,-49.620000,132.728088
2026-01-09 15:45:05.436,34,1,18.280000,45.120000,-60.020000,2,-54.800000,-53.180000,-109.650000,-73.080000,-98.300000,-49.630000,132.161694
2026-01-09 15:45:07.091,35,1,18.260000,45.100000,-60.030000,2,-54.790000,-53.310000,-109.620000,-73.050000,-98.410000,-49.590000,132.211946
2026-01-09 15:45:08.750,36,1,18.270000,45.080000,-60.040000,2,-54.790000,-53.310000,-109.620000,-73.060000,-98.390000,-49.580000,132.198835
2026-01-09 15:45:10.410,37,1,18.260000,45.100000,-60.040000,2,-54.230000,-53.230000,-109.530000,-72.490000,-98.330000,-49.490000,131.806104
2026-01-09 15:45:12.072,38,1,18.250000,45.090000,-60.040000,2,-54.790000,-53.290000,-109.620000,-73.040000,-98.380000,-49.580000,132.180340
2026-01-09 15:45:13.730,39,1,18.250000,45.100000,-60.030000,2,-55.500000,-53.380000,-109.650000,-73.750000,-98.480000,-49.620000,132.663172
2026-01-09 15:45:15.390,40,1,18.260000,45.150000,-60.000000,2,-54.750000,-53.250000,-109.630000,-73.010000,-98.400000,-49.630000,132.197417
2026-01-09 15:45:17.055,41,1,18.220000,45.170000,-59.960000,2,-54.700000,-53.130000,-109.740000,-72.920000,-98.300000,-49.780000,132.129727
2026-01-09 15:45:18.709,42,1,18.200000,45.160000,-59.980000,2,-54.760000,-53.180000,-109.710000,-72.960000,-98.340000,-49.730000,132.162741
2026-01-09 15:45:20.367,43,1,18.250000,45.160000,-60.020000,2,-55.440000,-53.280000,-109.650000,-73.690000,-98.440000,-49.630000,132.603871
2026-01-09 15:45:22.027,44,1,18.250000,45.130000,-60.020000,2,-54.760000,-53.280000,-109.600000,-73.010000,-98.410000,-49.580000,132.186098
2026-01-09 15:45:23.684,45,1,18.130000,45.080000,-60.050000,2,-54.800000,-53.320000,-109.610000,-72.930000,-98.400000,-49.560000,132.126979
2026-01-09 15:45:25.340,46,1,18.110000,45.100000,-60.020000,2,-54.790000,-53.310000,-109.610000,-72.900000,-98.410000,-49.590000,132.129127
2026-01-09 15:45:26.998,47,1,18.110000,45.090000,-60.020000,2,-54.800000,-53.300000,-109.610000,-72.910000,-98.390000,-49.590000,132.119750
2026-01-09 15:45:28.655,48,1,18.100000,45.090000,-60.020000,2,-54.790000,-53.310000,-109.610000,-72.890000,-98.400000,-49.590000,132.116162
2026-01-09 15:45:30.314,49,1,18.110000,45.090000,-60.030000,2,-54.800000,-53.310000,-109.610000,-72.910000,-98.400000,-49.580000,132.123444
2026-01-09 15:45:31.979,50,1,18.100000,45.090000,-60.020000,2,-54.800000,-53.300000,-109.610000,-72.900000,-98.390000,-49.590000,132.114232
2026-01-09 15:45:33.637,51,1,18.110000,44.940000,-60.060000,2,-54.710000,-53.490000,-109.660000,-72.820000,-98.430000,-49.600000,132.103661
2026-01-09 15:45:35.295,52,1,18.160000,45.020000,-60.060000,2,-54.760000,-53.310000,-109.660000,-72.920000,-98.330000,-49.600000,132.084349
2026-01-09 15:45:36.949,53,1,18.300000,45.210000,-59.920000,2,-54.460000,-52.980000,-109.930000,-72.760000,-98.190000,-50.010000,132.046559
2026-01-09 15:45:38.607,54,1,18.300000,45.200000,-59.910000,2,-54.450000,-52.840000,-109.890000,-72.750000,-98.040000,-49.980000,131.918174
2026-01-09 15:45:40.260,55,1,18.240000,45.080000,-59.980000,2,-54.570000,-52.980000,-109.840000,-72.810000,-98.060000,-49.860000,131.920731
2026-01-09 15:45:41.913,56,1,18.260000,45.110000,-59.970000,2,-54.460000,-52.960000,-109.930000,-72.720000,-98.070000,-49.960000,131.916356
2026-01-09 15:45:43.574,57,1,18.220000,44.940000,-60.120000,2,-54.700000,-53.260000,-109.750000,-72.920000,-98.200000,-49.630000,131.998876
2026-01-09 15:45:45.227,58,1,18.230000,44.930000,-60.130000,2,-54.800000,-53.290000,-109.610000,-73.030000,-98.220000,-49.480000,132.018255
