时间戳,帧号,传感器1_端口,传感器1_X,传感器1_Y,传感器1_Z,传感器2_端口,传感器2_X,传感器2_Y,传感器2_Z,相对位置_X,相对位置_Y,相对位置_Z,距离
2026-01-09 15:13:54.252,1,1,-179.710000,4.540000,-97.750000,,,,,,,,
2026-01-09 15:13:55.909,2,1,-179.660000,4.540000,-97.810000,2,-9.450000,16.890000,-113.800000,170.210000,12.350000,-15.990000,171.404920
2026-01-09 15:13:57.570,3,1,-179.650000,4.580000,-97.790000,2,-9.440000,16.890000,-113.800000,170.210000,12.310000,-16.010000,171.403910
2026-01-09 15:13:59.227,4,1,-179.610000,4.650000,-97.790000,2,-9.440000,16.900000,-113.810000,170.170000,12.250000,-16.020000,171.360823
2026-01-09 15:14:00.892,5,1,-179.640000,4.620000,-97.770000,2,-9.440000,16.890000,-113.810000,170.200000,12.270000,-16.040000,171.393916
2026-01-09 15:14:02.566,6,1,-162.440000,24.500000,-94.720000,2,-9.400000,16.850000,-113.880000,153.040000,-7.650000,-19.160000,154.424317
2026-01-09 15:14:04.218,7,1,-169.240000,-0.310000,-97.710000,2,-9.380000,16.790000,-113.910000,159.860000,17.100000,-16.200000,161.586106
2026-01-09 15:14:05.878,8,1,-156.270000,-28.490000,-105.210000,2,-9.350000,16.720000,-113.950000,146.920000,45.210000,-8.740000,153.966938
2026-01-09 15:14:07.542,9,1,-156.510000,-28.930000,-105.320000,2,-9.340000,16.710000,-113.960000,147.170000,45.640000,-8.640000,154.326498
