时间戳,帧号,传感器1_端口,传感器1_X,传感器1_Y,传感器1_Z,传感器2_端口,传感器2_X,传感器2_Y,传感器2_Z,相对位置_X,相对位置_Y,相对位置_Z,距离
2026-01-09 15:12:23.618,1,1,-169.840000,-44.360000,-109.020000,,,,,,,,
2026-01-09 15:12:25.273,2,1,-169.870000,-44.390000,-108.990000,2,-9.490000,16.410000,-113.950000,160.380000,60.800000,-4.960000,171.589586
2026-01-09 15:12:26.931,3,1,-167.310000,-43.220000,-108.880000,2,-9.480000,16.420000,-113.960000,157.830000,59.640000,-5.080000,168.798830
2026-01-09 15:12:28.590,4,1,-162.920000,-27.550000,-104.780000,2,-9.480000,16.430000,-113.940000,153.440000,43.980000,-9.160000,159.881142
2026-01-09 15:12:30.250,5,1,-161.130000,-26.720000,-104.950000,2,-9.480000,16.450000,-113.940000,151.650000,43.170000,-8.990000,157.930971
2026-01-09 15:12:31.922,6,1,-160.530000,-26.160000,-104.820000,2,-9.480000,16.440000,-113.940000,151.050000,42.600000,-9.120000,157.206987
2026-01-09 15:12:33.590,7,1,-149.400000,-3.210000,-99.640000,2,-9.480000,16.470000,-113.940000,139.920000,19.680000,-14.300000,142.019009
2026-01-09 15:12:35.246,8,1,-147.260000,0.670000,-98.810000,2,-9.480000,16.480000,-113.940000,137.780000,15.810000,-15.130000,139.506994
2026-01-09 15:12:36.905,9,1,-147.770000,-0.690000,-99.020000,2,-9.470000,16.480000,-113.940000,138.300000,17.170000,-14.920000,140.158144
2026-01-09 15:12:38.562,10,1,-147.900000,-1.050000,-99.060000,2,-9.470000,16.480000,-113.950000,138.430000,17.530000,-14.890000,140.327752
2026-01-09 15:12:40.215,11,1,-144.840000,5.140000,-97.690000,2,-9.470000,16.480000,-113.940000,135.370000,11.340000,-16.250000,136.812627
2026-01-09 15:12:41.874,12,1,-131.080000,27.980000,-95.010000,2,-9.460000,16.530000,-113.930000,121.620000,-11.450000,-18.920000,123.614292
2026-01-09 15:12:43.524,13,1,-152.600000,-19.600000,-102.470000,2,-9.450000,16.480000,-113.980000,143.150000,36.080000,-11.510000,148.074876
2026-01-09 15:12:45.179,14,1,-166.750000,-46.450000,-109.420000,2,-9.470000,16.480000,-113.950000,157.280000,62.930000,-4.530000,169.462988
2026-01-09 15:12:46.842,15,1,-162.340000,-36.360000,-107.510000,2,-9.460000,16.480000,-113.960000,152.880000,52.840000,-6.450000,161.882558
2026-01-09 15:12:48.504,16,1,-165.850000,-31.510000,-105.920000,2,-9.460000,16.500000,-113.950000,156.390000,48.010000,-8.030000,163.790333
2026-01-09 15:12:50.158,17,1,-167.460000,-46.420000,-109.530000,2,-9.460000,16.500000,-113.950000,158.000000,62.920000,-4.420000,170.124845
2026-01-09 15:12:51.820,18,1,-167.670000,-47.270000,-109.680000,2,-8.000000,16.290000,-115.650000,159.670000,63.560000,-5.970000,171.959366
2026-01-09 15:12:53.475,19,1,-167.770000,-47.810000,-109.790000,2,-9.460000,16.500000,-113.950000,158.310000,64.310000,-4.160000,170.924363
2026-01-09 15:12:55.132,20,1,-167.720000,-48.080000,-109.820000,2,-7.970000,16.280000,-115.670000,159.750000,64.360000,-5.850000,172.326709
2026-01-09 15:12:56.794,21,1,-167.830000,-48.260000,-109.860000,2,-9.450000,16.490000,-113.950000,158.380000,64.750000,-4.090000,171.153484
